Unnamed: 0,_id,Memory (RAM),Screen size,Weight,Hard drives,Size (length x width x height),Price,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
6150,6589cf668997406b55ed8dbe,64,15.6,2.49,2000,150.0,84696000.0,13081,22459,1,0,0,0,0
6153,6589cf678997406b55ed8dc5,16,15.6,2.3,500,133.362372,18456000.0,10370,7869,1,0,0,0,0
6155,6589cf678997406b55ed8dc7,32,16.0,2.49,1000,162.019,46296000.0,18606,26883,1,0,1,0,0
6158,6589cf678997406b55ed8dca,32,17.3,2.3,2000,160.28096,39816000.0,12390,17090,1,0,0,0,0
6161,6589cf688997406b55ed8dd1,64,15.6,2.3,4000,129.830792,67656000.0,16894,23757,1,0,1,0,0
6163,6589cf688997406b55ed8dd5,16,17.3,2.6,500,161.5645,27326399.0,14193,17090,1,0,0,0,0
6164,6589cf688997406b55ed8dd8,64,17.0,3.1,4000,198.425853,82776000.0,31343,34630,1,0,1,0,0
6166,6589cf688997406b55ed8ddd,32,17.3,2.8,2000,137.97666,48216000.0,15486,17090,1,0,1,0,0
6167,6589cf688997406b55ed8dde,32,17.3,2.72,1000,158.23566,38376000.0,15486,17090,1,0,1,0,0
6169,6589cf688997406b55ed8de0,16,15.6,2.4,500,126.0,29496000.0,9513,17090,1,0,0,0,0
6173,6589cf698997406b55ed8de5,32,17.3,2.6,500,160.28096,46536000.0,15486,22459,1,0,1,0,0
6174,6589cf698997406b55ed8de6,64,17.3,3.31,2000,193.12272,47999760.0,14640,23757,1,0,0,0,0
6178,6589cf698997406b55ed8dec,16,15.6,2.25,16000,141.24348,108456000.0,16894,23757,0,0,1,0,0
6179,6589cf698997406b55ed8ded,32,15.6,2.49,1000,171.644175,70776000.0,15486,27325,1,0,1,0,0
6180,6589cf6a8997406b55ed8dee,16,15.6,,1000,,20135760.0,5125,2690,0,0,1,0,0
6181,6589cf6a8997406b55ed8df1,64,16.0,2.5,8000,128.904574,100680000.0,31343,34630,1,0,1,0,0
6185,6589cf6b8997406b55ed8dfa,16,15.6,1.81,250,96.791778,16799760.0,5125,2690,0,0,1,0,0
6186,6589cf6b8997406b55ed8dfb,64,15.6,2.4,2000,150.2644,90336000.0,15486,23757,1,0,1,0,0
6187,6589cf6b8997406b55ed8dfd,16,13.0,0.9,500,,18650160.0,4235,2690,0,1,0,0,0
