_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Amazon.com Lowest New Price,Name
6589cd338997406b55ed721e,Intel Core i7-1165G7,Intel Iris Xe,64gb,15.6″,Full HD(1920 x 1080 pixels),4.02 lbs(1.82 kg),500gb SSD,14.13 x 8.98 x 0.72 inches,Windows 11 Home,"July 25, 2022","$1,849.00",HP Envy x360-15t
6589cd338997406b55ed721f,Intel Core i7-1255U,Intel Iris Xe,24gb,15.6″,Full HD(1920 x 1080 pixels),3.74 lbs(1.7 kg),2000gb SSD,14.37 x 9.44 x 0.75 inches,Windows 10 Pro,"August 3, 2022","$1,719.00",Lenovo ThinkPad E15 G2
6589cd338997406b55ed7220,Intel Core i5-1135G7,,16gb,17.3″,Full HD(1920 x 1080 pixels),4.86 lbs(2.2 kg),500gb SSD,15.78 x 10.15 x 0.78 inches,Windows 11,"September 3, 2023",$889.00,HP BY4061 17″ (568B700)
6589cd338997406b55ed7221,Intel Core i7-1360P,Intel Iris Xe,16gb,16″,Full HD Plus(2160 x 1440 pixels),4.28 lbs(1.94 kg),1000gb SSD,,Windows 11 Pro,"May 21, 2023",$858.00,Dell Inspiron 16 5630 (JD7TY)
6589cd338997406b55ed7222,Intel Celeron N3060,Intel HD Graphics,4gb,11.6″,HD(1366 x 768 pixels),2.5 lbs(1.13 kg),32gb SSD,11.4 x 8.1 x 0.7 inches,Chrome OS,"October 2, 2018",$254.99,Samsung Chromebook 11″
6589cd348997406b55ed7223,Intel Core i5-1335U,Intel Iris Xe,8gb,14″,Full HD Plus(2160 x 1440 pixels),3.02 lbs(1.37 kg),250gb SSD,12.3 x 8.8 x 0.7 inches,Chrome OS,"August 29, 2023",$669.00,Acer Chromebook Spin 714 2-in-1 14in
6589cd348997406b55ed7224,AMD Ryzen 7 7735HS,GeForce RTX 4050,64gb,17.3″,Full HD(1920 x 1080 pixels),5.73 lbs(2.6 kg),2000gb SSD,15.55 x 10.39 x 1 inches,Windows 11 Pro,"April 14, 2023","$1,679.00",HIDevolution 2023 ASUS TUF 17″ (FA707NU-DS74-HID12P)
6589cd348997406b55ed7225,Intel Core i7-1195G7,Intel Iris Xe,16gb,17″,WQXGA(2560 x 1600 pixels),2.98 lbs(1.35 kg),500gb SSD,14.91 x 10.91 x 0.7 inches,Windows 10 Pro,"August 28, 2023","$1,569.99",LG Gram 17″ (17Z95P)
6589cd348997406b55ed7226,Intel Core i7-12650H,GeForce RTX 4060,8gb,15.6″,Full HD(1920 x 1080 pixels),4.37 lbs(1.98 kg),500gb SSD,14.15 x 9.86 x 0.9 inches,Windows 11 Home,"October 30, 2023",$999.00,EXcaliberPC MSI 15″ (Cyborg 15 A12VF-043US)
6589cd348997406b55ed7227,Intel Core i7-1165G7,Intel Iris Xe,20gb,14″,Full HD(1920 x 1080 pixels),3.1 lbs(1.41 kg),2000gb SSD,12.76 x 8.49 x 0.78 inches,Windows 11 Pro,"September 6, 2023",$799.00,Lenovo IdeaPad 3 14″
